"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipEventSynchronize",1,22013338,22013338.000000,40.00,22013338,22013338,0.00000000e+00
"hipEventRecord",2,11707234,5853617.000000,21.27,2735,11704499,8274396.676245
"hipModuleLoadData",1,7072358,7072358.000000,12.85,7072358,7072358,0.00000000e+00
"hipGetDevice",1,6051746,6051746.000000,11.00,6051746,6051746,0.00000000e+00
"hipMemcpy",1,4397314,4397314.000000,7.99,4397314,4397314,0.00000000e+00
"hipModuleUnload",1,3631056,3631056.000000,6.60,3631056,3631056,0.00000000e+00
"hipFree",1,47909,47909.000000,0.0870,47909,47909,0.00000000e+00
"hipMalloc",1,47629,47629.000000,0.0865,47629,47629,0.00000000e+00
"hipModuleLaunchKernel",1,38702,38702.000000,0.0703,38702,38702,0.00000000e+00
"hipModuleGetFunction",1,7544,7544.000000,0.0137,7544,7544,0.00000000e+00
"hipModuleOccupancyMaxActiveBlocksPerMultiprocessor",1,5551,5551.000000,0.0101,5551,5551,0.00000000e+00
"hipEventElapsedTime",1,5540,5540.000000,0.0101,5540,5540,0.00000000e+00
"hipEventCreate",2,4418,2209.000000,8.027e-03,491,3927,2429.618900
"hipEventDestroy",2,4338,2169.000000,7.882e-03,301,4037,2641.750935
"hipGetDevicePropertiesR0600",1,3557,3557.000000,6.463e-03,3557,3557,0.00000000e+00
