slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,65,00:01:05,002_00-01-05.jpg
3,150,00:02:30,003_00-02-30.jpg
4,720,00:12:00,004_00-12-00.jpg
5,1020,00:17:00,005_00-17-00.jpg
6,1110,00:18:30,006_00-18-30.jpg
7,1170,00:19:30,007_00-19-30.jpg
8,1350,00:22:30,008_00-22-30.jpg
9,1470,00:24:30,009_00-24-30.jpg
10,1530,00:25:30,010_00-25-30.jpg
11,1650,00:27:30,011_00-27-30.jpg
12,1770,00:29:30,012_00-29-30.jpg
13,1950,00:32:30,013_00-32-30.jpg
14,2100,00:35:00,014_00-35-00.jpg
15,2280,00:38:00,015_00-38-00.jpg
16,2460,00:41:00,016_00-41-00.jpg
17,2580,00:43:00,017_00-43-00.jpg
18,2700,00:45:00,018_00-45-00.jpg
19,3000,00:50:00,019_00-50-00.jpg
20,3060,00:51:00,020_00-51-00.jpg
21,3240,00:54:00,021_00-54-00.jpg
