slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,35,00:00:35,002_00-00-35.jpg
3,210,00:03:30,003_00-03-30.jpg
4,390,00:06:30,004_00-06-30.jpg
5,510,00:08:30,005_00-08-30.jpg
6,660,00:11:00,006_00-11-00.jpg
7,780,00:13:00,007_00-13-00.jpg
8,930,00:15:30,008_00-15-30.jpg
9,1110,00:18:30,009_00-18-30.jpg
10,1290,00:21:30,010_00-21-30.jpg
11,1500,00:25:00,011_00-25-00.jpg
12,1740,00:29:00,012_00-29-00.jpg
13,1980,00:33:00,013_00-33-00.jpg
14,2100,00:35:00,014_00-35-00.jpg
15,2250,00:37:30,015_00-37-30.jpg
16,2400,00:40:00,016_00-40-00.jpg
17,2520,00:42:00,017_00-42-00.jpg
18,2700,00:45:00,018_00-45-00.jpg
19,2820,00:47:00,019_00-47-00.jpg
20,3000,00:50:00,020_00-50-00.jpg
21,3180,00:53:00,021_00-53-00.jpg
22,3360,00:56:00,022_00-56-00.jpg
23,3480,00:58:00,023_00-58-00.jpg
24,3780,01:03:00,024_01-03-00.jpg
25,3900,01:05:00,025_01-05-00.jpg
26,4110,01:08:30,026_01-08-30.jpg
