slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,95,00:01:35,002_00-01-35.jpg
3,185,00:03:05,003_00-03-05.jpg
4,305,00:05:05,004_00-05-05.jpg
5,455,00:07:35,005_00-07-35.jpg
6,605,00:10:05,006_00-10-05.jpg
7,755,00:12:35,007_00-12-35.jpg
8,815,00:13:35,008_00-13-35.jpg
9,995,00:16:35,009_00-16-35.jpg
10,1125,00:18:45,010_00-18-45.jpg
11,1275,00:21:15,011_00-21-15.jpg
12,1455,00:24:15,012_00-24-15.jpg
13,1665,00:27:45,013_00-27-45.jpg
14,1845,00:30:45,014_00-30-45.jpg
15,1995,00:33:15,015_00-33-15.jpg
16,2115,00:35:15,016_00-35-15.jpg
17,2265,00:37:45,017_00-37-45.jpg
18,2445,00:40:45,018_00-40-45.jpg
19,2625,00:43:45,019_00-43-45.jpg
20,2805,00:46:45,020_00-46-45.jpg
21,2955,00:49:15,021_00-49-15.jpg
22,3105,00:51:45,022_00-51-45.jpg
23,3285,00:54:45,023_00-54-45.jpg
24,3495,00:58:15,024_00-58-15.jpg
25,3765,01:02:45,025_01-02-45.jpg
