slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,70,00:01:10,002_00-01-10.jpg
3,190,00:03:10,003_00-03-10.jpg
4,580,00:09:40,004_00-09-40.jpg
5,700,00:11:40,005_00-11-40.jpg
6,900,00:15:00,006_00-15-00.jpg
7,1020,00:17:00,007_00-17-00.jpg
8,1140,00:19:00,008_00-19-00.jpg
9,1260,00:21:00,009_00-21-00.jpg
10,1380,00:23:00,010_00-23-00.jpg
11,1500,00:25:00,011_00-25-00.jpg
12,1680,00:28:00,012_00-28-00.jpg
13,1830,00:30:30,013_00-30-30.jpg
14,1980,00:33:00,014_00-33-00.jpg
15,2160,00:36:00,015_00-36-00.jpg
16,2340,00:39:00,016_00-39-00.jpg
17,2520,00:42:00,017_00-42-00.jpg
18,2700,00:45:00,018_00-45-00.jpg
19,2880,00:48:00,019_00-48-00.jpg
20,3060,00:51:00,020_00-51-00.jpg
21,3240,00:54:00,021_00-54-00.jpg
22,3450,00:57:30,022_00-57-30.jpg
23,3660,01:01:00,023_01-01-00.jpg
24,3900,01:05:00,024_01-05-00.jpg
25,4140,01:09:00,025_01-09-00.jpg
