slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,65,00:01:05,002_00-01-05.jpg
3,245,00:04:05,003_00-04-05.jpg
4,365,00:06:05,004_00-06-05.jpg
5,405,00:06:45,005_00-06-45.jpg
6,485,00:08:05,006_00-08-05.jpg
7,725,00:12:05,007_00-12-05.jpg
8,965,00:16:05,008_00-16-05.jpg
9,1165,00:19:25,009_00-19-25.jpg
10,1285,00:21:25,010_00-21-25.jpg
11,1465,00:24:25,011_00-24-25.jpg
12,1645,00:27:25,012_00-27-25.jpg
13,1885,00:31:25,013_00-31-25.jpg
14,2125,00:35:25,014_00-35-25.jpg
15,2365,00:39:25,015_00-39-25.jpg
16,2665,00:44:25,016_00-44-25.jpg
17,2815,00:46:55,017_00-46-55.jpg
18,3025,00:50:25,018_00-50-25.jpg
19,3145,00:52:25,019_00-52-25.jpg
20,3265,00:54:25,020_00-54-25.jpg
21,3385,00:56:25,021_00-56-25.jpg
22,3505,00:58:25,022_00-58-25.jpg
23,3625,01:00:25,023_01-00-25.jpg
24,3805,01:03:25,024_01-03-25.jpg
25,3985,01:06:25,025_01-06-25.jpg
26,4165,01:09:25,026_01-09-25.jpg
27,4315,01:11:55,027_01-11-55.jpg
