slide,timestamp_seconds,timestamp,file
1,2,00:00:02,001_00-00-02.jpg
2,118,00:01:58,002_00-01-58.jpg
3,340,00:05:40,003_00-05-40.jpg
4,496,00:08:16,004_00-08-16.jpg
5,512,00:08:32,005_00-08-32.jpg
6,892,00:14:52,006_00-14-52.jpg
7,1132,00:18:52,007_00-18-52.jpg
8,1400,00:23:20,008_00-23-20.jpg
9,1408,00:23:28,009_00-23-28.jpg
10,1454,00:24:14,010_00-24-14.jpg
11,1550,00:25:50,011_00-25-50.jpg
12,1702,00:28:22,012_00-28-22.jpg
13,1812,00:30:12,013_00-30-12.jpg
14,2198,00:36:38,014_00-36-38.jpg
15,2206,00:36:46,015_00-36-46.jpg
16,2448,00:40:48,016_00-40-48.jpg
17,2484,00:41:24,017_00-41-24.jpg
18,2538,00:42:18,018_00-42-18.jpg
19,2546,00:42:26,019_00-42-26.jpg
20,2570,00:42:50,020_00-42-50.jpg
21,2578,00:42:58,021_00-42-58.jpg
22,2642,00:44:02,022_00-44-02.jpg
23,2802,00:46:42,023_00-46-42.jpg
24,3104,00:51:44,024_00-51-44.jpg
25,3156,00:52:36,025_00-52-36.jpg
26,3224,00:53:44,026_00-53-44.jpg
27,3454,00:57:34,027_00-57-34.jpg
28,3714,01:01:54,028_01-01-54.jpg
29,3910,01:05:10,029_01-05-10.jpg
