slide,timestamp_seconds,timestamp,file
1,2,00:00:02,001_00-00-02.jpg
2,58,00:00:58,002_00-00-58.jpg
3,118,00:01:58,003_00-01-58.jpg
4,154,00:02:34,004_00-02-34.jpg
5,250,00:04:10,005_00-04-10.jpg
6,404,00:06:44,006_00-06-44.jpg
7,414,00:06:54,007_00-06-54.jpg
8,532,00:08:52,008_00-08-52.jpg
9,762,00:12:42,009_00-12-42.jpg
10,776,00:12:56,010_00-12-56.jpg
11,992,00:16:32,011_00-16-32.jpg
12,1122,00:18:42,012_00-18-42.jpg
13,1318,00:21:58,013_00-21-58.jpg
14,1356,00:22:36,014_00-22-36.jpg
15,1726,00:28:46,015_00-28-46.jpg
16,1822,00:30:22,016_00-30-22.jpg
17,1982,00:33:02,017_00-33-02.jpg
18,2216,00:36:56,018_00-36-56.jpg
19,2364,00:39:24,019_00-39-24.jpg
20,2518,00:41:58,020_00-41-58.jpg
21,2960,00:49:20,021_00-49-20.jpg
22,2982,00:49:42,022_00-49-42.jpg
23,3100,00:51:40,023_00-51-40.jpg
24,3134,00:52:14,024_00-52-14.jpg
25,3210,00:53:30,025_00-53-30.jpg
26,3300,00:55:00,026_00-55-00.jpg
27,3344,00:55:44,027_00-55-44.jpg
28,3374,00:56:14,028_00-56-14.jpg
29,3464,00:57:44,029_00-57-44.jpg
30,3484,00:58:04,030_00-58-04.jpg
31,3800,01:03:20,031_01-03-20.jpg
32,3892,01:04:52,032_01-04-52.jpg
33,4316,01:11:56,033_01-11-56.jpg
