slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,35,00:00:35,002_00-00-35.jpg
3,65,00:01:05,003_00-01-05.jpg
4,95,00:01:35,004_00-01-35.jpg
5,135,00:02:15,005_00-02-15.jpg
6,245,00:04:05,006_00-04-05.jpg
7,315,00:05:15,007_00-05-15.jpg
8,630,00:10:30,008_00-10-30.jpg
9,780,00:13:00,009_00-13-00.jpg
10,1415,00:23:35,010_00-23-35.jpg
11,1590,00:26:30,011_00-26-30.jpg
12,1870,00:31:10,012_00-31-10.jpg
13,2135,00:35:35,013_00-35-35.jpg
14,2190,00:36:30,014_00-36-30.jpg
15,2290,00:38:10,015_00-38-10.jpg
16,2495,00:41:35,016_00-41-35.jpg
17,2890,00:48:10,017_00-48-10.jpg
18,3220,00:53:40,018_00-53-40.jpg
