slide,timestamp_seconds,timestamp,file
1,2,00:00:02,001_00-00-02.jpg
2,30,00:00:30,002_00-00-30.jpg
3,50,00:00:50,003_00-00-50.jpg
4,86,00:01:26,004_00-01-26.jpg
5,100,00:01:40,005_00-01-40.jpg
6,126,00:02:06,006_00-02-06.jpg
7,140,00:02:20,007_00-02-20.jpg
8,154,00:02:34,008_00-02-34.jpg
9,188,00:03:08,009_00-03-08.jpg
10,210,00:03:30,010_00-03-30.jpg
11,250,00:04:10,011_00-04-10.jpg
12,304,00:05:04,012_00-05-04.jpg
13,412,00:06:52,013_00-06-52.jpg
14,482,00:08:02,014_00-08-02.jpg
15,698,00:11:38,015_00-11-38.jpg
16,916,00:15:16,016_00-15-16.jpg
17,928,00:15:28,017_00-15-28.jpg
18,1098,00:18:18,018_00-18-18.jpg
19,1424,00:23:44,019_00-23-44.jpg
20,1460,00:24:20,020_00-24-20.jpg
21,1642,00:27:22,021_00-27-22.jpg
22,1652,00:27:32,022_00-27-32.jpg
23,1704,00:28:24,023_00-28-24.jpg
24,1974,00:32:54,024_00-32-54.jpg
25,2082,00:34:42,025_00-34-42.jpg
26,2096,00:34:56,026_00-34-56.jpg
27,3540,00:59:00,027_00-59-00.jpg
28,4168,01:09:28,028_01-09-28.jpg
29,4196,01:09:56,029_01-09-56.jpg
