slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,109,00:01:49,002_00-01-49.jpg
3,180,00:03:00,003_00-03-00.jpg
4,353,00:05:53,004_00-05-53.jpg
5,587,00:09:47,005_00-09-47.jpg
6,890,00:14:50,006_00-14-50.jpg
7,1006,00:16:46,007_00-16-46.jpg
8,1225,00:20:25,008_00-20-25.jpg
9,1372,00:22:52,009_00-22-52.jpg
10,1590,00:26:30,010_00-26-30.jpg
11,1652,00:27:32,011_00-27-32.jpg
12,1835,00:30:35,012_00-30-35.jpg
13,1915,00:31:55,013_00-31-55.jpg
14,2225,00:37:05,014_00-37-05.jpg
15,2770,00:46:10,015_00-46-10.jpg
16,2940,00:49:00,016_00-49-00.jpg
17,3250,00:54:10,017_00-54-10.jpg
18,3530,00:58:50,018_00-58-50.jpg
19,3785,01:03:05,019_01-03-05.jpg
20,3919,01:05:19,020_01-05-19.jpg
21,3985,01:06:25,021_01-06-25.jpg
22,4290,01:11:30,022_01-11-30.jpg
23,4650,01:17:30,023_01-17-30.jpg
