slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,53,00:00:53,002_00-00-53.jpg
3,120,00:02:00,003_00-02-00.jpg
4,180,00:03:00,004_00-03-00.jpg
5,210,00:03:30,005_00-03-30.jpg
6,300,00:05:00,006_00-05-00.jpg
7,330,00:05:30,007_00-05-30.jpg
8,480,00:08:00,008_00-08-00.jpg
9,600,00:10:00,009_00-10-00.jpg
10,630,00:10:30,010_00-10-30.jpg
11,780,00:13:00,011_00-13-00.jpg
12,900,00:15:00,012_00-15-00.jpg
13,1020,00:17:00,013_00-17-00.jpg
14,1290,00:21:30,014_00-21-30.jpg
15,1380,00:23:00,015_00-23-00.jpg
16,1470,00:24:30,016_00-24-30.jpg
17,1620,00:27:00,017_00-27-00.jpg
18,1680,00:28:00,018_00-28-00.jpg
19,2130,00:35:30,019_00-35-30.jpg
20,2160,00:36:00,020_00-36-00.jpg
21,2247,00:37:27,021_00-37-27.jpg
