slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,100,00:01:40,002_00-01-40.jpg
3,210,00:03:30,003_00-03-30.jpg
4,280,00:04:40,004_00-04-40.jpg
5,340,00:05:40,005_00-05-40.jpg
6,520,00:08:40,006_00-08-40.jpg
7,600,00:10:00,007_00-10-00.jpg
8,660,00:11:00,008_00-11-00.jpg
9,750,00:12:30,009_00-12-30.jpg
10,840,00:14:00,010_00-14-00.jpg
11,960,00:16:00,011_00-16-00.jpg
12,1020,00:17:00,012_00-17-00.jpg
13,1200,00:20:00,013_00-20-00.jpg
14,1320,00:22:00,014_00-22-00.jpg
15,1440,00:24:00,015_00-24-00.jpg
16,1500,00:25:00,016_00-25-00.jpg
17,1620,00:27:00,017_00-27-00.jpg
18,1740,00:29:00,018_00-29-00.jpg
19,1860,00:31:00,019_00-31-00.jpg
20,2040,00:34:00,020_00-34-00.jpg
21,2220,00:37:00,021_00-37-00.jpg
22,2400,00:40:00,022_00-40-00.jpg
23,2580,00:43:00,023_00-43-00.jpg
24,2760,00:46:00,024_00-46-00.jpg
