slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,60,00:01:00,002_00-01-00.jpg
3,150,00:02:30,003_00-02-30.jpg
4,255,00:04:15,004_00-04-15.jpg
5,480,00:08:00,005_00-08-00.jpg
6,630,00:10:30,006_00-10-30.jpg
7,780,00:13:00,007_00-13-00.jpg
8,900,00:15:00,008_00-15-00.jpg
9,960,00:16:00,009_00-16-00.jpg
10,1050,00:17:30,010_00-17-30.jpg
11,1260,00:21:00,011_00-21-00.jpg
12,1380,00:23:00,012_00-23-00.jpg
13,1530,00:25:30,013_00-25-30.jpg
14,1740,00:29:00,014_00-29-00.jpg
15,2040,00:34:00,015_00-34-00.jpg
16,2280,00:38:00,016_00-38-00.jpg
17,2460,00:41:00,017_00-41-00.jpg
18,2580,00:43:00,018_00-43-00.jpg
19,2760,00:46:00,019_00-46-00.jpg
