slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,240,00:04:00,002_00-04-00.jpg
3,360,00:06:00,003_00-06-00.jpg
4,480,00:08:00,004_00-08-00.jpg
5,600,00:10:00,005_00-10-00.jpg
6,840,00:14:00,006_00-14-00.jpg
7,990,00:16:30,007_00-16-30.jpg
8,1200,00:20:00,008_00-20-00.jpg
9,1320,00:22:00,009_00-22-00.jpg
10,1500,00:25:00,010_00-25-00.jpg
11,1740,00:29:00,011_00-29-00.jpg
12,1920,00:32:00,012_00-32-00.jpg
13,2100,00:35:00,013_00-35-00.jpg
14,2280,00:38:00,014_00-38-00.jpg
15,2460,00:41:00,015_00-41-00.jpg
16,2640,00:44:00,016_00-44-00.jpg
17,2820,00:47:00,017_00-47-00.jpg
18,3000,00:50:00,018_00-50-00.jpg
19,3180,00:53:00,019_00-53-00.jpg
20,3360,00:56:00,020_00-56-00.jpg
21,3480,00:58:00,021_00-58-00.jpg
22,3600,01:00:00,022_01-00-00.jpg
23,3780,01:03:00,023_01-03-00.jpg
24,3960,01:06:00,024_01-06-00.jpg
