"slide","timestamp_seconds","timestamp","file"
"1","0","00:00:00","001_00-00-00.jpg"
"2","158","00:02:38","002_00-02-38.jpg"
"3","300","00:05:00","003_00-05-00.jpg"
"4","416","00:06:56","004_00-06-56.jpg"
"5","610","00:10:10","005_00-10-10.jpg"
"6","664","00:11:04","006_00-11-04.jpg"
"7","824","00:13:44","007_00-13-44.jpg"
"8","852","00:14:12","008_00-14-12.jpg"
"9","932","00:15:32","009_00-15-32.jpg"
"10","1012","00:16:52","010_00-16-52.jpg"
"11","1060","00:17:40","011_00-17-40.jpg"
"12","1232","00:20:32","012_00-20-32.jpg"
"13","1266","00:21:06","013_00-21-06.jpg"
