slide,timestamp_seconds,timestamp,file
"1","0","00:00:00","001_00-00-00.jpg"
"2","12","00:00:12","002_00-00-12.jpg"
"3","43","00:00:43","003_00-00-43.jpg"
"4","80","00:01:20","004_00-01-20.jpg"
"5","134","00:02:14","005_00-02-14.jpg"
"6","745","00:12:25","006_00-12-25.jpg"
"7","1112","00:18:32","007_00-18-32.jpg"
"8","1154","00:19:14","008_00-19-14.jpg"
"9","1179","00:19:39","009_00-19-39.jpg"
"10","1326","00:22:06","010_00-22-06.jpg"
"11","1342","00:22:22","011_00-22-22.jpg"
"12","1403","00:23:23","012_00-23-23.jpg"
