slide,timestamp_seconds,timestamp,file
"1","0","00:00:00","001_00-00-00.jpg"
"2","12","00:00:12","002_00-00-12.jpg"
"3","30","00:00:30","003_00-00-30.jpg"
"4","108","00:01:48","004_00-01-48.jpg"
"5","224","00:03:44","005_00-03-44.jpg"
"6","332","00:05:32","006_00-05-32.jpg"
"7","358","00:05:58","007_00-05-58.jpg"
"8","412","00:06:52","008_00-06-52.jpg"
"9","446","00:07:26","009_00-07-26.jpg"
"10","606","00:10:06","010_00-10-06.jpg"
"11","938","00:15:38","011_00-15-38.jpg"
"12","1068","00:17:48","012_00-17-48.jpg"
"13","1178","00:19:38","013_00-19-38.jpg"
"14","1196","00:19:56","014_00-19-56.jpg"
"15","1314","00:21:54","015_00-21-54.jpg"
"16","1660","00:27:40","016_00-27-40.jpg"
"17","1806","00:30:06","017_00-30-06.jpg"
"18","1836","00:30:36","018_00-30-36.jpg"
"19","1942","00:32:22","019_00-32-22.jpg"
"20","2058","00:34:18","020_00-34-18.jpg"
"21","2246","00:37:26","021_00-37-26.jpg"
"22","2370","00:39:30","022_00-39-30.jpg"
"23","2378","00:39:38","023_00-39-38.jpg"
"24","2792","00:46:32","024_00-46-32.jpg"
"25","2808","00:46:48","025_00-46-48.jpg"
"26","2940","00:49:00","026_00-49-00.jpg"
