slide,timestamp_seconds,timestamp,file
"1","0","00:00:00","001_00-00-00.jpg"
"2","28","00:00:28","002_00-00-28.jpg"
"3","76","00:01:16","003_00-01-16.jpg"
"4","254","00:04:14","004_00-04-14.jpg"
"5","270","00:04:30","005_00-04-30.jpg"
"6","292","00:05:52","006_00-05-52.jpg"
"7","318","00:05:18","007_00-05-18.jpg"
"8","458","00:08:38","008_00-08-38.jpg"
"9","514","00:09:34","009_00-09-34.jpg"
"10","596","00:10:56","010_00-10-56.jpg"
"11","680","00:11:20","011_00-11-20.jpg"
"12","720","00:12:00","012_00-12-00.jpg"
"13","1010","00:17:50","013_00-17-50.jpg"
"14","1144","00:19:04","014_00-19-04.jpg"
"15","1384","00:23:04","015_00-23-04.jpg"
"16","1528","00:25:28","016_00-25-28.jpg"
"17","1590","00:26:30","017_00-26-30.jpg"
"18","1704","00:28:24","018_00-28-24.jpg"
"19","1824","01:30:24","019_01-30-24.jpg"
"20","1868","01:31:08","020_01-31-08.jpg"
"21","1944","01:32:24","021_01-32-24.jpg"
"22","1976","01:33:56","022_01-33-56.jpg"
"23","2016","01:34:36","023_01-34-36.jpg"
"24","2056","01:34:16","024_01-34-16.jpg"
