slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,118,00:01:58,002_00-01-58.jpg
3,508,00:08:28,003_00-08-28.jpg
4,958,00:15:58,004_00-15-58.jpg
5,1250,00:20:50,005_00-20-50.jpg
6,1902,00:31:42,006_00-31-42.jpg
7,2614,00:43:34,007_00-43-34.jpg
8,2866,00:47:46,008_00-47-46.jpg
9,3306,00:55:06,009_00-55-06.jpg
10,3448,00:57:28,010_00-57-28.jpg
11,3966,01:06:06,011_01-06-06.jpg
12,4196,01:09:56,012_01-09-56.jpg
13,4538,01:15:38,013_01-15-38.jpg
14,4878,01:21:18,014_01-21-18.jpg
15,5112,01:25:12,015_01-25-12.jpg
16,5330,01:28:50,016_01-28-50.jpg
17,5636,01:33:56,017_01-33-56.jpg
18,6058,01:40:58,018_01-40-58.jpg
19,6066,01:41:06,019_01-41-06.jpg
