slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,14,00:00:14,002_00-00-14.jpg
3,366,00:06:06,003_00-06-06.jpg
4,798,00:13:18,004_00-13-18.jpg
5,948,00:15:48,005_00-15-48.jpg
6,1266,00:21:06,006_00-21-06.jpg
7,1720,00:28:40,007_00-28-40.jpg
8,2094,00:34:54,008_00-34-54.jpg
9,2220,00:37:00,009_00-37-00.jpg
10,2330,00:38:50,010_00-38-50.jpg
11,2820,00:47:00,011_00-47-00.jpg
12,3082,00:51:22,012_00-51-22.jpg
13,3478,00:57:58,013_00-57-58.jpg
14,4034,01:07:14,014_01-07-14.jpg
15,4306,01:11:46,015_01-11-46.jpg
16,5098,01:24:58,016_01-24-58.jpg
17,5442,01:30:42,017_01-30-42.jpg
18,5462,01:31:02,018_01-31-02.jpg
