slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,114,00:01:54,002_00-01-54.jpg
3,384,00:06:24,003_00-06-24.jpg
4,600,00:10:00,004_00-10-00.jpg
5,1016,00:16:56,005_00-16-56.jpg
6,1336,00:22:16,006_00-22-16.jpg
7,1678,00:27:58,007_00-27-58.jpg
8,1864,00:31:04,008_00-31-04.jpg
9,2280,00:38:00,009_00-38-00.jpg
10,2474,00:41:14,010_00-41-14.jpg
11,2684,00:44:44,011_00-44-44.jpg
12,2984,00:49:44,012_00-49-44.jpg
13,3560,00:59:20,013_00-59-20.jpg
14,4028,01:07:08,014_01-07-08.jpg
15,4508,01:15:08,015_01-15-08.jpg
16,5238,01:27:18,016_01-27-18.jpg
17,5272,01:27:52,017_01-27-52.jpg
