slide,timestamp_seconds,timestamp,file
1,10,00:00:10,001_00-00-10.jpg
2,204,00:03:24,002_00-03-24.jpg
3,282,00:04:42,003_00-04-42.jpg
4,670,00:11:10,004_00-11-10.jpg
5,810,00:13:30,005_00-13-30.jpg
6,872,00:14:32,006_00-14-32.jpg
7,1030,00:17:10,007_00-17-10.jpg
8,1066,00:17:46,008_00-17-46.jpg
9,1096,00:18:16,009_00-18-16.jpg
10,1170,00:19:30,010_00-19-30.jpg
11,1188,00:19:48,011_00-19-48.jpg
12,1276,00:21:16,012_00-21-16.jpg
13,1308,00:21:48,013_00-21-48.jpg
14,1446,00:24:06,014_00-24-06.jpg
15,1460,00:24:20,015_00-24-20.jpg
16,1742,00:29:02,016_00-29-02.jpg
17,1790,00:29:50,017_00-29-50.jpg
18,1896,00:31:36,018_00-31-36.jpg
19,1970,00:32:50,019_00-32-50.jpg
20,2220,00:37:00,020_00-37-00.jpg
21,2330,00:38:50,021_00-38-50.jpg
22,2422,00:40:22,022_00-40-22.jpg
23,2850,00:47:30,023_00-47-30.jpg
24,2896,00:48:16,024_00-48-16.jpg
25,3120,00:52:00,025_00-52-00.jpg
26,3306,00:55:06,026_00-55-06.jpg
27,3612,01:00:12,027_01-00-12.jpg
28,4142,01:09:02,028_01-09-02.jpg
29,4188,01:09:48,029_01-09-48.jpg
30,4428,01:13:48,030_01-13-48.jpg
31,4462,01:14:22,031_01-14-22.jpg
32,4824,01:20:24,032_01-20-24.jpg
33,5438,01:30:38,033_01-30-38.jpg
34,5446,01:30:46,034_01-30-46.jpg
