slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,46,00:00:46,002_00-00-46.jpg
3,156,00:02:36,003_00-02-36.jpg
4,454,00:07:34,004_00-07-34.jpg
5,714,00:11:54,005_00-11-54.jpg
6,1154,00:19:14,006_00-19-14.jpg
7,1612,00:26:52,007_00-26-52.jpg
8,1918,00:31:58,008_00-31-58.jpg
9,1956,00:32:36,009_00-32-36.jpg
10,2466,00:41:06,010_00-41-06.jpg
11,2990,00:49:50,011_00-49-50.jpg
12,3038,00:50:38,012_00-50-38.jpg
13,3404,00:56:44,013_00-56-44.jpg
14,3658,01:00:58,014_01-00-58.jpg
15,3862,01:04:22,015_01-04-22.jpg
16,3900,01:05:00,016_01-05-00.jpg
17,3918,01:05:18,017_01-05-18.jpg
18,4072,01:07:52,018_01-07-52.jpg
19,4352,01:12:32,019_01-12-32.jpg
20,4458,01:14:18,020_01-14-18.jpg
21,4492,01:14:52,021_01-14-52.jpg
