slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,102,00:01:42,002_00-01-42.jpg
3,254,00:04:14,003_00-04-14.jpg
4,548,00:09:08,004_00-09-08.jpg
5,730,00:12:10,005_00-12-10.jpg
6,1162,00:19:22,006_00-19-22.jpg
7,1292,00:21:32,007_00-21-32.jpg
8,1568,00:26:08,008_00-26-08.jpg
9,1714,00:28:34,009_00-28-34.jpg
10,1958,00:32:38,010_00-32-38.jpg
11,2128,00:35:28,011_00-35-28.jpg
12,2324,00:38:44,012_00-38-44.jpg
13,2652,00:44:12,013_00-44-12.jpg
14,2796,00:46:36,014_00-46-36.jpg
15,2986,00:49:46,015_00-49-46.jpg
16,3300,00:55:00,016_00-55-00.jpg
17,3514,00:58:34,017_00-58-34.jpg
18,3742,01:02:22,018_01-02-22.jpg
19,4386,01:13:06,019_01-13-06.jpg
