slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,220,00:03:40,002_00-03-40.jpg
3,484,00:08:04,003_00-08-04.jpg
4,530,00:08:50,004_00-08-50.jpg
5,612,00:10:12,005_00-10-12.jpg
6,886,00:14:46,006_00-14-46.jpg
7,1044,00:17:24,007_00-17-24.jpg
8,1060,00:17:40,008_00-17-40.jpg
9,1386,00:23:06,009_00-23-06.jpg
10,1412,00:23:32,010_00-23-32.jpg
11,1484,00:24:44,011_00-24-44.jpg
12,1544,00:25:44,012_00-25-44.jpg
13,1882,00:31:22,013_00-31-22.jpg
14,2250,00:37:30,014_00-37-30.jpg
15,2608,00:43:28,015_00-43-28.jpg
16,2626,00:43:46,016_00-43-46.jpg
17,2916,00:48:36,017_00-48-36.jpg
18,3266,00:54:26,018_00-54-26.jpg
19,3478,00:57:58,019_00-57-58.jpg
20,3910,01:05:10,020_01-05-10.jpg
21,4088,01:08:08,021_01-08-08.jpg
22,4138,01:08:58,022_01-08-58.jpg
