slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,160,00:02:40,002_00-02-40.jpg
3,508,00:08:28,003_00-08-28.jpg
4,526,00:08:46,004_00-08-46.jpg
5,712,00:11:52,005_00-11-52.jpg
6,934,00:15:34,006_00-15-34.jpg
7,1372,00:22:52,007_00-22-52.jpg
8,1748,00:29:08,008_00-29-08.jpg
9,2184,00:36:24,009_00-36-24.jpg
10,2540,00:42:20,010_00-42-20.jpg
11,2768,00:46:08,011_00-46-08.jpg
12,2886,00:48:06,012_00-48-06.jpg
13,3182,00:53:02,013_00-53-02.jpg
14,3394,00:56:34,014_00-56-34.jpg
15,3714,01:01:54,015_01-01-54.jpg
16,4124,01:08:44,016_01-08-44.jpg
17,4462,01:14:22,017_01-14-22.jpg
18,4492,01:14:52,018_01-14-52.jpg
19,4838,01:20:38,019_01-20-38.jpg
