slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,44,00:00:44,002_00-00-44.jpg
3,140,00:02:20,003_00-02-20.jpg
4,626,00:10:26,004_00-10-26.jpg
5,1116,00:18:36,005_00-18-36.jpg
6,1600,00:26:40,006_00-26-40.jpg
7,1756,00:29:16,007_00-29-16.jpg
8,2284,00:38:04,008_00-38-04.jpg
9,2440,00:40:40,009_00-40-40.jpg
10,2776,00:46:16,010_00-46-16.jpg
11,3200,00:53:20,011_00-53-20.jpg
12,3420,00:57:00,012_00-57-00.jpg
13,4124,01:08:44,013_01-08-44.jpg
14,4550,01:15:50,014_01-15-50.jpg
15,5098,01:24:58,015_01-24-58.jpg
16,5596,01:33:16,016_01-33-16.jpg
17,5838,01:37:18,017_01-37-18.jpg
18,6082,01:41:22,018_01-41-22.jpg
