slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,34,00:00:34,002_00-00-34.jpg
3,208,00:03:28,003_00-03-28.jpg
4,998,00:16:38,004_00-16-38.jpg
5,1438,00:23:58,005_00-23-58.jpg
6,1872,00:31:12,006_00-31-12.jpg
7,2090,00:34:50,007_00-34-50.jpg
8,2656,00:44:16,008_00-44-16.jpg
9,2980,00:49:40,009_00-49-40.jpg
10,3298,00:54:58,010_00-54-58.jpg
11,3372,00:56:12,011_00-56-12.jpg
12,3588,00:59:48,012_00-59-48.jpg
13,4172,01:09:32,013_01-09-32.jpg
14,4600,01:16:40,014_01-16-40.jpg
15,5028,01:23:48,015_01-23-48.jpg
16,5368,01:29:28,016_01-29-28.jpg
