slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,14,00:00:14,002_00-00-14.jpg
3,140,00:02:20,003_00-02-20.jpg
4,228,00:03:48,004_00-03-48.jpg
5,434,00:07:14,005_00-07-14.jpg
6,614,00:10:14,006_00-10-14.jpg
7,814,00:13:34,007_00-13-34.jpg
8,1562,00:26:02,008_00-26-02.jpg
9,1802,00:30:02,009_00-30-02.jpg
10,1960,00:32:40,010_00-32-40.jpg
11,2162,00:36:02,011_00-36-02.jpg
12,2248,00:37:28,012_00-37-28.jpg
13,2456,00:40:56,013_00-40-56.jpg
14,2630,00:43:50,014_00-43-50.jpg
15,2826,00:47:06,015_00-47-06.jpg
16,3308,00:55:08,016_00-55-08.jpg
17,3946,01:05:46,017_01-05-46.jpg
