slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,96,00:01:36,002_00-01-36.jpg
3,722,00:12:02,003_00-12-02.jpg
4,1272,00:21:12,004_00-21-12.jpg
5,1494,00:24:54,005_00-24-54.jpg
6,1622,00:27:02,006_00-27-02.jpg
7,1708,00:28:28,007_00-28-28.jpg
8,2216,00:36:56,008_00-36-56.jpg
9,2688,00:44:48,009_00-44-48.jpg
10,2754,00:45:54,010_00-45-54.jpg
11,2930,00:48:50,011_00-48-50.jpg
12,3284,00:54:44,012_00-54-44.jpg
13,3608,01:00:08,013_01-00-08.jpg
14,4048,01:07:28,014_01-07-28.jpg
