slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,50,00:00:50,002_00-00-50.jpg
3,146,00:02:26,003_00-02-26.jpg
4,710,00:11:50,004_00-11-50.jpg
5,1442,00:24:02,005_00-24-02.jpg
6,1796,00:29:56,006_00-29-56.jpg
7,2182,00:36:22,007_00-36-22.jpg
8,2968,00:49:28,008_00-49-28.jpg
9,3452,00:57:32,009_00-57-32.jpg
10,3592,00:59:52,010_00-59-52.jpg
11,3700,01:01:40,011_01-01-40.jpg
12,3818,01:03:38,012_01-03-38.jpg
13,3886,01:04:46,013_01-04-46.jpg
14,4016,01:06:56,014_01-06-56.jpg
15,4404,01:13:24,015_01-13-24.jpg
16,4498,01:14:58,016_01-14-58.jpg
17,4560,01:16:00,017_01-16-00.jpg
