slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,106,00:01:46,002_00-01-46.jpg
3,750,00:12:30,003_00-12-30.jpg
4,1204,00:20:04,004_00-20-04.jpg
5,1586,00:26:26,005_00-26-26.jpg
6,2112,00:35:12,006_00-35-12.jpg
7,2350,00:39:10,007_00-39-10.jpg
8,2780,00:46:20,008_00-46-20.jpg
9,3040,00:50:40,009_00-50-40.jpg
10,3364,00:56:04,010_00-56-04.jpg
11,3574,00:59:34,011_00-59-34.jpg
12,3914,01:05:14,012_01-05-14.jpg
13,4522,01:15:22,013_01-15-22.jpg
14,4900,01:21:40,014_01-21-40.jpg
15,5264,01:27:44,015_01-27-44.jpg
