slide,timestamp_seconds,timestamp,file
1,6,00:00:06,001_00-00-06.jpg
2,92,00:01:32,002_00-01-32.jpg
3,574,00:09:34,003_00-09-34.jpg
4,1236,00:20:36,004_00-20-36.jpg
5,1346,00:22:26,005_00-22-26.jpg
6,2068,00:34:28,006_00-34-28.jpg
7,2392,00:39:52,007_00-39-52.jpg
8,3592,00:59:52,008_00-59-52.jpg
9,4198,01:09:58,009_01-09-58.jpg
10,4484,01:14:44,010_01-14-44.jpg
11,4912,01:21:52,011_01-21-52.jpg
12,5412,01:30:12,012_01-30-12.jpg
13,5840,01:37:20,013_01-37-20.jpg
14,6418,01:46:58,014_01-46-58.jpg
15,6586,01:49:46,015_01-49-46.jpg
