slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,26,00:00:26,002_00-00-26.jpg
3,534,00:08:54,003_00-08-54.jpg
4,666,00:11:06,004_00-11-06.jpg
5,1000,00:16:40,005_00-16-40.jpg
6,1404,00:23:24,006_00-23-24.jpg
7,1852,00:30:52,007_00-30-52.jpg
8,1870,00:31:10,008_00-31-10.jpg
9,1896,00:31:36,009_00-31-36.jpg
10,2160,00:36:00,010_00-36-00.jpg
11,2408,00:40:08,011_00-40-08.jpg
12,2798,00:46:38,012_00-46-38.jpg
13,2934,00:48:54,013_00-48-54.jpg
14,3116,00:51:56,014_00-51-56.jpg
15,3594,00:59:54,015_00-59-54.jpg
16,3778,01:02:58,016_01-02-58.jpg
17,4168,01:09:28,017_01-09-28.jpg
18,4552,01:15:52,018_01-15-52.jpg
19,5122,01:25:22,019_01-25-22.jpg
20,5590,01:33:10,020_01-33-10.jpg
21,6020,01:40:20,021_01-40-20.jpg
22,6408,01:46:48,022_01-46-48.jpg
23,6916,01:55:16,023_01-55-16.jpg
24,7476,02:04:36,024_02-04-36.jpg
25,7988,02:13:08,025_02-13-08.jpg
