slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,48,00:00:48,002_00-00-48.jpg
3,484,00:08:04,003_00-08-04.jpg
4,796,00:13:16,004_00-13-16.jpg
5,1506,00:25:06,005_00-25-06.jpg
6,1956,00:32:36,006_00-32-36.jpg
7,2250,00:37:30,007_00-37-30.jpg
8,2818,00:46:58,008_00-46-58.jpg
9,2964,00:49:24,009_00-49-24.jpg
10,3330,00:55:30,010_00-55-30.jpg
11,3748,01:02:28,011_01-02-28.jpg
12,4800,01:20:00,012_01-20-00.jpg
13,4944,01:22:24,013_01-22-24.jpg
14,5144,01:25:44,014_01-25-44.jpg
15,5504,01:31:44,015_01-31-44.jpg
16,5906,01:38:26,016_01-38-26.jpg
17,6220,01:43:40,017_01-43-40.jpg
18,6654,01:50:54,018_01-50-54.jpg
19,6944,01:55:44,019_01-55-44.jpg
20,7312,02:01:52,020_02-01-52.jpg
21,7590,02:06:30,021_02-06-30.jpg
22,7750,02:09:10,022_02-09-10.jpg
