slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,20,00:00:20,002_00-00-20.jpg
3,374,00:06:14,003_00-06-14.jpg
4,680,00:11:20,004_00-11-20.jpg
5,1670,00:27:50,005_00-27-50.jpg
6,2012,00:33:32,006_00-33-32.jpg
7,2090,00:34:50,007_00-34-50.jpg
8,2450,00:40:50,008_00-40-50.jpg
9,2754,00:45:54,009_00-45-54.jpg
10,3012,00:50:12,010_00-50-12.jpg
11,3340,00:55:40,011_00-55-40.jpg
12,3548,00:59:08,012_00-59-08.jpg
13,3834,01:03:54,013_01-03-54.jpg
14,4096,01:08:16,014_01-08-16.jpg
15,4146,01:09:06,015_01-09-06.jpg
