slide,timestamp_seconds,timestamp,file
1,6,00:00:06,001_00-00-06.jpg
2,58,00:00:58,002_00-00-58.jpg
3,458,00:07:38,003_00-07-38.jpg
4,660,00:11:00,004_00-11-00.jpg
5,892,00:14:52,005_00-14-52.jpg
6,1420,00:23:40,006_00-23-40.jpg
7,1624,00:27:04,007_00-27-04.jpg
8,1956,00:32:36,008_00-32-36.jpg
9,2162,00:36:02,009_00-36-02.jpg
10,2420,00:40:20,010_00-40-20.jpg
11,2470,00:41:10,011_00-41-10.jpg
12,3168,00:52:48,012_00-52-48.jpg
13,3584,00:59:44,013_00-59-44.jpg
14,3658,01:00:58,014_01-00-58.jpg
15,3896,01:04:56,015_01-04-56.jpg
16,4202,01:10:02,016_01-10-02.jpg
17,4268,01:11:08,017_01-11-08.jpg
18,4812,01:20:12,018_01-20-12.jpg
19,4822,01:20:22,019_01-20-22.jpg
20,4842,01:20:42,020_01-20-42.jpg
