slide,timestamp_seconds,timestamp,file
1,6,00:00:06,001_00-00-06.jpg
2,158,00:02:38,002_00-02-38.jpg
3,412,00:06:52,003_00-06-52.jpg
4,632,00:10:32,004_00-10-32.jpg
5,940,00:15:40,005_00-15-40.jpg
6,1394,00:23:14,006_00-23-14.jpg
7,1782,00:29:42,007_00-29-42.jpg
8,1996,00:33:16,008_00-33-16.jpg
9,2522,00:42:02,009_00-42-02.jpg
10,3164,00:52:44,010_00-52-44.jpg
11,3296,00:54:56,011_00-54-56.jpg
12,3778,01:02:58,012_01-02-58.jpg
13,3916,01:05:16,013_01-05-16.jpg
14,4222,01:10:22,014_01-10-22.jpg
15,4404,01:13:24,015_01-13-24.jpg
16,4662,01:17:42,016_01-17-42.jpg
17,5286,01:28:06,017_01-28-06.jpg
18,5492,01:31:32,018_01-31-32.jpg
19,6022,01:40:22,019_01-40-22.jpg
20,6486,01:48:06,020_01-48-06.jpg
21,6726,01:52:06,021_01-52-06.jpg
22,7766,02:09:26,022_02-09-26.jpg
23,7788,02:09:48,023_02-09-48.jpg
24,7880,02:11:20,024_02-11-20.jpg
25,7902,02:11:42,025_02-11-42.jpg
