slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,64,00:01:04,002_00-01-04.jpg
3,226,00:03:46,003_00-03-46.jpg
4,518,00:08:38,004_00-08-38.jpg
5,1264,00:21:04,005_00-21-04.jpg
6,1484,00:24:44,006_00-24-44.jpg
7,1704,00:28:24,007_00-28-24.jpg
8,2042,00:34:02,008_00-34-02.jpg
9,2304,00:38:24,009_00-38-24.jpg
10,2510,00:41:50,010_00-41-50.jpg
11,2756,00:45:56,011_00-45-56.jpg
12,2910,00:48:30,012_00-48-30.jpg
13,3050,00:50:50,013_00-50-50.jpg
14,3198,00:53:18,014_00-53-18.jpg
15,3282,00:54:42,015_00-54-42.jpg
16,3362,00:56:02,016_00-56-02.jpg
17,3512,00:58:32,017_00-58-32.jpg
18,4016,01:06:56,018_01-06-56.jpg
19,5088,01:24:48,019_01-24-48.jpg
20,5284,01:28:04,020_01-28-04.jpg
21,5566,01:32:46,021_01-32-46.jpg
22,6182,01:43:02,022_01-43-02.jpg
23,6544,01:49:04,023_01-49-04.jpg
24,7178,01:59:38,024_01-59-38.jpg
25,7712,02:08:32,025_02-08-32.jpg
26,8560,02:22:40,026_02-22-40.jpg
27,8692,02:24:52,027_02-24-52.jpg
28,9032,02:30:32,028_02-30-32.jpg
29,9330,02:35:30,029_02-35-30.jpg
30,9338,02:35:38,030_02-35-38.jpg
31,9362,02:36:02,031_02-36-02.jpg
32,9384,02:36:24,032_02-36-24.jpg
33,9434,02:37:14,033_02-37-14.jpg
34,9458,02:37:38,034_02-37-38.jpg
