slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,20,00:00:20,002_00-00-20.jpg
3,430,00:07:10,003_00-07-10.jpg
4,1086,00:18:06,004_00-18-06.jpg
5,1432,00:23:52,005_00-23-52.jpg
6,1616,00:26:56,006_00-26-56.jpg
7,2390,00:39:50,007_00-39-50.jpg
8,2676,00:44:36,008_00-44-36.jpg
9,3038,00:50:38,009_00-50-38.jpg
10,4212,01:10:12,010_01-10-12.jpg
11,4580,01:16:20,011_01-16-20.jpg
12,5056,01:24:16,012_01-24-16.jpg
13,5352,01:29:12,013_01-29-12.jpg
14,5682,01:34:42,014_01-34-42.jpg
15,5930,01:38:50,015_01-38-50.jpg
16,6026,01:40:26,016_01-40-26.jpg
17,6404,01:46:44,017_01-46-44.jpg
18,6728,01:52:08,018_01-52-08.jpg
19,7002,01:56:42,019_01-56-42.jpg
20,7112,01:58:32,020_01-58-32.jpg
21,7312,02:01:52,021_02-01-52.jpg
22,7410,02:03:30,022_02-03-30.jpg
23,7728,02:08:48,023_02-08-48.jpg
24,8138,02:15:38,024_02-15-38.jpg
25,8388,02:19:48,025_02-19-48.jpg
26,8714,02:25:14,026_02-25-14.jpg
27,8736,02:25:36,027_02-25-36.jpg
28,8764,02:26:04,028_02-26-04.jpg
