slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,54,00:00:54,002_00-00-54.jpg
3,206,00:03:26,003_00-03-26.jpg
4,402,00:06:42,004_00-06-42.jpg
5,536,00:08:56,005_00-08-56.jpg
6,644,00:10:44,006_00-10-44.jpg
7,1266,00:21:06,007_00-21-06.jpg
8,1426,00:23:46,008_00-23-46.jpg
9,1514,00:25:14,009_00-25-14.jpg
10,1690,00:28:10,010_00-28-10.jpg
11,1762,00:29:22,011_00-29-22.jpg
12,2290,00:38:10,012_00-38-10.jpg
13,3002,00:50:02,013_00-50-02.jpg
14,3306,00:55:06,014_00-55-06.jpg
15,3824,01:03:44,015_01-03-44.jpg
16,3984,01:06:24,016_01-06-24.jpg
17,4234,01:10:34,017_01-10-34.jpg
18,4266,01:11:06,018_01-11-06.jpg
19,4436,01:13:56,019_01-13-56.jpg
20,4824,01:20:24,020_01-20-24.jpg
21,5160,01:26:00,021_01-26-00.jpg
22,5654,01:34:14,022_01-34-14.jpg
23,5986,01:39:46,023_01-39-46.jpg
24,6242,01:44:02,024_01-44-02.jpg
25,6256,01:44:16,025_01-44-16.jpg
26,6572,01:49:32,026_01-49-32.jpg
27,6812,01:53:32,027_01-53-32.jpg
28,6878,01:54:38,028_01-54-38.jpg
29,6906,01:55:06,029_01-55-06.jpg
30,7118,01:58:38,030_01-58-38.jpg
31,7744,02:09:04,031_02-09-04.jpg
32,7758,02:09:18,032_02-09-18.jpg
33,7776,02:09:36,033_02-09-36.jpg
