slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,26,00:00:26,002_00-00-26.jpg
3,262,00:04:22,003_00-04-22.jpg
4,592,00:09:52,004_00-09-52.jpg
5,780,00:13:00,005_00-13-00.jpg
6,1176,00:19:36,006_00-19-36.jpg
7,1366,00:22:46,007_00-22-46.jpg
8,1786,00:29:46,008_00-29-46.jpg
9,2096,00:34:56,009_00-34-56.jpg
10,2620,00:43:40,010_00-43-40.jpg
11,2770,00:46:10,011_00-46-10.jpg
12,3054,00:50:54,012_00-50-54.jpg
13,3446,00:57:26,013_00-57-26.jpg
14,3744,01:02:24,014_01-02-24.jpg
15,3900,01:05:00,015_01-05-00.jpg
16,4188,01:09:48,016_01-09-48.jpg
17,4494,01:14:54,017_01-14-54.jpg
18,4680,01:18:00,018_01-18-00.jpg
19,4830,01:20:30,019_01-20-30.jpg
20,4952,01:22:32,020_01-22-32.jpg
21,5186,01:26:26,021_01-26-26.jpg
22,5466,01:31:06,022_01-31-06.jpg
23,5594,01:33:14,023_01-33-14.jpg
24,5858,01:37:38,024_01-37-38.jpg
25,6254,01:44:14,025_01-44-14.jpg
26,6384,01:46:24,026_01-46-24.jpg
27,6738,01:52:18,027_01-52-18.jpg
28,7000,01:56:40,028_01-56-40.jpg
29,7046,01:57:26,029_01-57-26.jpg
30,7070,01:57:50,030_01-57-50.jpg
31,7104,01:58:24,031_01-58-24.jpg
