slide,timestamp_seconds,timestamp,file
1,10,00:00:10,001_00-00-10.jpg
2,110,00:01:50,002_00-01-50.jpg
3,646,00:10:46,003_00-10-46.jpg
4,1280,00:21:20,004_00-21-20.jpg
5,1826,00:30:26,005_00-30-26.jpg
6,2358,00:39:18,006_00-39-18.jpg
7,2912,00:48:32,007_00-48-32.jpg
8,3218,00:53:38,008_00-53-38.jpg
9,3676,01:01:16,009_01-01-16.jpg
10,4048,01:07:28,010_01-07-28.jpg
11,4442,01:14:02,011_01-14-02.jpg
12,4990,01:23:10,012_01-23-10.jpg
13,5434,01:30:34,013_01-30-34.jpg
14,6046,01:40:46,014_01-40-46.jpg
15,6318,01:45:18,015_01-45-18.jpg
16,6648,01:50:48,016_01-50-48.jpg
17,6922,01:55:22,017_01-55-22.jpg
18,7114,01:58:34,018_01-58-34.jpg
19,7424,02:03:44,019_02-03-44.jpg
20,7790,02:09:50,020_02-09-50.jpg
21,8134,02:15:34,021_02-15-34.jpg
22,8160,02:16:00,022_02-16-00.jpg
