slide,timestamp_seconds,timestamp,file
1,6,00:00:06,001_00-00-06.jpg
2,304,00:05:04,002_00-05-04.jpg
3,574,00:09:34,003_00-09-34.jpg
4,1332,00:22:12,004_00-22-12.jpg
5,2012,00:33:32,005_00-33-32.jpg
6,2300,00:38:20,006_00-38-20.jpg
7,3174,00:52:54,007_00-52-54.jpg
8,4026,01:07:06,008_01-07-06.jpg
9,4460,01:14:20,009_01-14-20.jpg
10,5210,01:26:50,010_01-26-50.jpg
11,5648,01:34:08,011_01-34-08.jpg
12,6004,01:40:04,012_01-40-04.jpg
13,6540,01:49:00,013_01-49-00.jpg
14,6938,01:55:38,014_01-55-38.jpg
15,7008,01:56:48,015_01-56-48.jpg
16,7016,01:56:56,016_01-56-56.jpg
