slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,20,00:00:20,002_00-00-20.jpg
3,1020,00:17:00,003_00-17-00.jpg
4,2192,00:36:32,004_00-36-32.jpg
5,2756,00:45:56,005_00-45-56.jpg
6,3718,01:01:58,006_01-01-58.jpg
7,3984,01:06:24,007_01-06-24.jpg
8,4738,01:18:58,008_01-18-58.jpg
9,5546,01:32:26,009_01-32-26.jpg
10,6196,01:43:16,010_01-43-16.jpg
11,7032,01:57:12,011_01-57-12.jpg
12,7606,02:06:46,012_02-06-46.jpg
13,8146,02:15:46,013_02-15-46.jpg
14,8906,02:28:26,014_02-28-26.jpg
15,9626,02:40:26,015_02-40-26.jpg
16,9846,02:44:06,016_02-44-06.jpg
17,9944,02:45:44,017_02-45-44.jpg
18,10332,02:52:12,018_02-52-12.jpg
19,10346,02:52:26,019_02-52-26.jpg
