slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,20,00:00:20,002_00-00-20.jpg
3,172,00:02:52,003_00-02-52.jpg
4,192,00:03:12,004_00-03-12.jpg
5,838,00:13:58,005_00-13-58.jpg
6,1654,00:27:34,006_00-27-34.jpg
7,2138,00:35:38,007_00-35-38.jpg
8,2210,00:36:50,008_00-36-50.jpg
9,2538,00:42:18,009_00-42-18.jpg
10,3148,00:52:28,010_00-52-28.jpg
11,3738,01:02:18,011_01-02-18.jpg
12,4026,01:07:06,012_01-07-06.jpg
13,4582,01:16:22,013_01-16-22.jpg
14,5244,01:27:24,014_01-27-24.jpg
15,5266,01:27:46,015_01-27-46.jpg
16,6380,01:46:20,016_01-46-20.jpg
17,6788,01:53:08,017_01-53-08.jpg
18,7480,02:04:40,018_02-04-40.jpg
19,7490,02:04:50,019_02-04-50.jpg
20,7818,02:10:18,020_02-10-18.jpg
21,8266,02:17:46,021_02-17-46.jpg
22,8274,02:17:54,022_02-17-54.jpg
23,8648,02:24:08,023_02-24-08.jpg
24,8820,02:27:00,024_02-27-00.jpg
25,9260,02:34:20,025_02-34-20.jpg
26,9506,02:38:26,026_02-38-26.jpg
27,9788,02:43:08,027_02-43-08.jpg
28,9828,02:43:48,028_02-43-48.jpg
