slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,18,00:00:18,002_00-00-18.jpg
3,536,00:08:56,003_00-08-56.jpg
4,1466,00:24:26,004_00-24-26.jpg
5,1480,00:24:40,005_00-24-40.jpg
6,2226,00:37:06,006_00-37-06.jpg
7,2554,00:42:34,007_00-42-34.jpg
8,2576,00:42:56,008_00-42-56.jpg
9,3440,00:57:20,009_00-57-20.jpg
10,3714,01:01:54,010_01-01-54.jpg
11,3984,01:06:24,011_01-06-24.jpg
12,3996,01:06:36,012_01-06-36.jpg
13,5220,01:27:00,013_01-27-00.jpg
14,5556,01:32:36,014_01-32-36.jpg
15,6376,01:46:16,015_01-46-16.jpg
16,7388,02:03:08,016_02-03-08.jpg
17,7402,02:03:22,017_02-03-22.jpg
18,8264,02:17:44,018_02-17-44.jpg
19,9096,02:31:36,019_02-31-36.jpg
20,9758,02:42:38,020_02-42-38.jpg
21,10180,02:49:40,021_02-49-40.jpg
22,10194,02:49:54,022_02-49-54.jpg
23,10660,02:57:40,023_02-57-40.jpg
24,11282,03:08:02,024_03-08-02.jpg
25,11780,03:16:20,025_03-16-20.jpg
26,12028,03:20:28,026_03-20-28.jpg
27,12526,03:28:46,027_03-28-46.jpg
28,12676,03:31:16,028_03-31-16.jpg
29,12940,03:35:40,029_03-35-40.jpg
30,13282,03:41:22,030_03-41-22.jpg
31,13432,03:43:52,031_03-43-52.jpg
32,13466,03:44:26,032_03-44-26.jpg
33,13532,03:45:32,033_03-45-32.jpg
