slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,72,00:01:12,002_00-01-12.jpg
3,740,00:12:20,003_00-12-20.jpg
4,1840,00:30:40,004_00-30-40.jpg
5,2174,00:36:14,005_00-36-14.jpg
6,2900,00:48:20,006_00-48-20.jpg
7,3544,00:59:04,007_00-59-04.jpg
8,3992,01:06:32,008_01-06-32.jpg
9,4084,01:08:04,009_01-08-04.jpg
10,4438,01:13:58,010_01-13-58.jpg
11,4954,01:22:34,011_01-22-34.jpg
12,5552,01:32:32,012_01-32-32.jpg
13,6144,01:42:24,013_01-42-24.jpg
14,6286,01:44:46,014_01-44-46.jpg
15,6884,01:54:44,015_01-54-44.jpg
16,7634,02:07:14,016_02-07-14.jpg
17,8262,02:17:42,017_02-17-42.jpg
18,9004,02:30:04,018_02-30-04.jpg
19,9522,02:38:42,019_02-38-42.jpg
20,10094,02:48:14,020_02-48-14.jpg
21,10350,02:52:30,021_02-52-30.jpg
22,10816,03:00:16,022_03-00-16.jpg
23,11126,03:05:26,023_03-05-26.jpg
24,11614,03:13:34,024_03-13-34.jpg
25,11646,03:14:06,025_03-14-06.jpg
26,11708,03:15:08,026_03-15-08.jpg
