slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,110,00:01:50,002_00-01-50.jpg
3,1102,00:18:22,003_00-18-22.jpg
4,2022,00:33:42,004_00-33-42.jpg
5,2078,00:34:38,005_00-34-38.jpg
6,2722,00:45:22,006_00-45-22.jpg
7,3568,00:59:28,007_00-59-28.jpg
8,5302,01:28:22,008_01-28-22.jpg
9,5974,01:39:34,009_01-39-34.jpg
10,6352,01:45:52,010_01-45-52.jpg
11,6586,01:49:46,011_01-49-46.jpg
12,6980,01:56:20,012_01-56-20.jpg
13,7018,01:56:58,013_01-56-58.jpg
14,7728,02:08:48,014_02-08-48.jpg
15,7986,02:13:06,015_02-13-06.jpg
16,8586,02:23:06,016_02-23-06.jpg
17,9060,02:31:00,017_02-31-00.jpg
18,9100,02:31:40,018_02-31-40.jpg
19,9644,02:40:44,019_02-40-44.jpg
20,9910,02:45:10,020_02-45-10.jpg
21,10702,02:58:22,021_02-58-22.jpg
22,11312,03:08:32,022_03-08-32.jpg
23,11496,03:11:36,023_03-11-36.jpg
24,11792,03:16:32,024_03-16-32.jpg
25,11802,03:16:42,025_03-16-42.jpg
26,11830,03:17:10,026_03-17-10.jpg
27,11858,03:17:38,027_03-17-38.jpg
