slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,44,00:00:44,002_00-00-44.jpg
3,1366,00:22:46,003_00-22-46.jpg
4,1394,00:23:14,004_00-23-14.jpg
5,2020,00:33:40,005_00-33-40.jpg
6,2770,00:46:10,006_00-46-10.jpg
7,3244,00:54:04,007_00-54-04.jpg
8,3868,01:04:28,008_01-04-28.jpg
9,4478,01:14:38,009_01-14-38.jpg
10,4850,01:20:50,010_01-20-50.jpg
11,4858,01:20:58,011_01-20-58.jpg
12,4876,01:21:16,012_01-21-16.jpg
13,5168,01:26:08,013_01-26-08.jpg
14,5234,01:27:14,014_01-27-14.jpg
15,5764,01:36:04,015_01-36-04.jpg
16,6160,01:42:40,016_01-42-40.jpg
17,6326,01:45:26,017_01-45-26.jpg
18,6616,01:50:16,018_01-50-16.jpg
19,7458,02:04:18,019_02-04-18.jpg
20,7528,02:05:28,020_02-05-28.jpg
21,7538,02:05:38,021_02-05-38.jpg
22,8612,02:23:32,022_02-23-32.jpg
23,9418,02:36:58,023_02-36-58.jpg
24,9860,02:44:20,024_02-44-20.jpg
