slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,14,00:00:14,002_00-00-14.jpg
3,1176,00:19:36,003_00-19-36.jpg
4,1206,00:20:06,004_00-20-06.jpg
5,1520,00:25:20,005_00-25-20.jpg
6,1566,00:26:06,006_00-26-06.jpg
7,2124,00:35:24,007_00-35-24.jpg
8,2356,00:39:16,008_00-39-16.jpg
9,2664,00:44:24,009_00-44-24.jpg
10,4232,01:10:32,010_01-10-32.jpg
11,5346,01:29:06,011_01-29-06.jpg
12,6262,01:44:22,012_01-44-22.jpg
13,6614,01:50:14,013_01-50-14.jpg
14,7462,02:04:22,014_02-04-22.jpg
15,8200,02:16:40,015_02-16-40.jpg
16,8220,02:17:00,016_02-17-00.jpg
17,9088,02:31:28,017_02-31-28.jpg
18,9754,02:42:34,018_02-42-34.jpg
19,10458,02:54:18,019_02-54-18.jpg
20,10922,03:02:02,020_03-02-02.jpg
21,11356,03:09:16,021_03-09-16.jpg
22,11512,03:11:52,022_03-11-52.jpg
