slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,18,00:00:18,002_00-00-18.jpg
3,536,00:08:56,003_00-08-56.jpg
4,916,00:15:16,004_00-15-16.jpg
5,962,00:16:02,005_00-16-02.jpg
6,1240,00:20:40,006_00-20-40.jpg
7,1814,00:30:14,007_00-30-14.jpg
8,2048,00:34:08,008_00-34-08.jpg
9,2114,00:35:14,009_00-35-14.jpg
10,2548,00:42:28,010_00-42-28.jpg
11,2590,00:43:10,011_00-43-10.jpg
12,3128,00:52:08,012_00-52-08.jpg
13,4080,01:08:00,013_01-08-00.jpg
14,4692,01:18:12,014_01-18-12.jpg
15,5142,01:25:42,015_01-25-42.jpg
16,5178,01:26:18,016_01-26-18.jpg
17,5508,01:31:48,017_01-31-48.jpg
18,5802,01:36:42,018_01-36-42.jpg
19,6238,01:43:58,019_01-43-58.jpg
20,6408,01:46:48,020_01-46-48.jpg
21,6420,01:47:00,021_01-47-00.jpg
22,6898,01:54:58,022_01-54-58.jpg
23,7602,02:06:42,023_02-06-42.jpg
24,7940,02:12:20,024_02-12-20.jpg
25,8222,02:17:02,025_02-17-02.jpg
26,8682,02:24:42,026_02-24-42.jpg
27,8976,02:29:36,027_02-29-36.jpg
28,9504,02:38:24,028_02-38-24.jpg
29,9524,02:38:44,029_02-38-44.jpg
